Bar/Restaurant Name,Business Website,Business Address,Address Line 2,City,State / Province / Region,Postal / Zip Code,Country,Charity
Gilda's Italian Restaurant & Lounge,http://gildasitalianrestaurant.com/,1601 SW Morrison,,Portland,OR,97205,United States,Oregon Human Society
Davis Street Tavern,http://davisstreettavern.com,500 NW Davis Street,,Portland,OR,07209,United States,Albertina Kerr
Kachka Restaurant,http://kachkapdx.com,720 SE Grand Avenue,,Portland,OR,97086,United States,Polaris
Restaurant St. Jack,http://www.stjackpdx.com,1610 NW 23rd,,Portland,OR,97210,United States,Michael J. Fox Foundation for Parkinson's Research
EaT: An Oyster Bar,http://www.eatoysterbar.com,3808 N Williams Ave ,Suite 122,Portland,OR,97227,United States,Sisters of the Road
The Parish Restaurant,http://www.theparishpdx.com,231 NW 11th Ave,,Portland,OR,97209,United States,Sisters of the Road
Oven and Shaker,http://ovenandshaker.com,1134 NW Everett,,Portland,OR,97209,United States,Oregon Humane Society
katie burnett test,http://www.businessname.com,3957 N Missouri Ave,,Portland,OR,97227,United States,birdie
Aviary,http://aviary.com,1733 Northeast Alberta Street ,,Portland,OR,97211,United States,Planned Parenthood
Irving Street Kitchen,http://irvingstreetkitchen.com,701 NW 13th Ave,,Portland,OR,97209,United States,Share Our Strength
Jackknife Bar,http://www.jackknifepdx.com,614 11th Ave,,Portland,OR,97205,United States,The Pixie Project
Ava Genes Restaurant,http://avagenes.com,3377 SE DIVISION ST. PORTLAND,,Portland,OR,97202,United States,Outside In
clarklewis,http://clarklewispdx.com,1001 SE Water Avenue Suite 260,,Portland,OR,97214,United States,Caldera Arts
District,http://www.districtportland.com,220 SW Ankeny,,Portland,OR,97204,United States,Inspire Artistic Minds
Imperial,http://imperialpdx.com,410 SW Broadway,,Portland,OR,97205,United States,The Pixie Project 
23Hoyt,http://23Hoyt.com,529 NW 23rd Ave.,,Portland,OR,97210,United States,Cascade AIDS Project
Driftwood Room,http://graciesdining.com,729 SW 15th Ave,,Portland,OR,97205,United States,NW Film School
Sweet Hereafter,http://hereafterpdx.com/,3326 SE Belmont St ,,Portland,OR,97211,United States,Wildcat Haven Sanctuary 
Radar ,http://radarpdx.com/,3951 N Mississippi Avenue ,,Portland,OR,97227,United States,Our United Villages
Moloko,http://molokopdx.com,3967 N Mississippi Avenue,,Portland,OR,97227,United States,The Sierra Club 
Moloko,http://molokopdx.com,3967 N Mississippi Avenue,,Portland,OR,97227,United States,The Sierra Club 
Pazzo Ristorante,http://www.pazzo.com,627 SW Washington,,Portland,OR,97205,United States,P:ear
Multnomah Whisk{e}y Library,http://www.multnomahwhiskeylibrary.com,1124 SW Alder,,Portland,OR,97205,United States,Mercy Corps
Little bird bistro,http://littlebirdbistro.com,219 SW 6th ave.,,Portland,OR,97204,United States,New Avenues for Youth
Oso Market + Bar,http://www.osomarket.com,726 SE Grand Ave,,Portland,OR,97214,United States,Bradley Angle (http://bradleyangle.org/)
The Fireside,http://www.pdxfireside.como,801 NW 23rd Ave,,Portland,OR,97218,United States,Mercy Corps
Bamboo Sushi (NE location),http://bamboosushi.com,1409 NE Alberta,,Portland,OR,97211,United States,Columbia River Keeper
smallwares,http://www.smallwarespdx.com,4605 NE Fremont St. 101,,Portland,OR,97213,United States,Our House
Accanto Bar + Cucina,http://accantopdx.com,2838 se belmont st.,,Portland,OR,97214,United States,Oregon Humane Society
Paley's Place,http://www.paleysplace.net,1204 NW 21st ave ,,Portland,OR,97209,United States,Friends of the children 
Salt & Straw,http://www.saltandstraw.com,838 NW 23rd Ave,,Portland,OR,97210,United States,Austin: Helping Hands Home for Children; Los Angeles: Inspire Artistic Minds; Portland: Oregon Food Bank
The Richmond Bar,http://therichmondbar.com,1903 ne weidler #1,,Portland,OR,97232,United States,Friends Of The Children
Bye & Bye,http://www.thebyeandbye.com/,1011 NE Alberta,,Portland,OR,97211,United States,Transition Projects 
Ringside Grill,http://ringsidegrill.com,14021 NE Glisan Street,14021 NE Glisan Street,Portland,OR,97230,United States,New Avenues For Youth
Andina,http://www.andinarestaurant.com,1314 nw Glisan St,,Portland,OR,97209,United States,Health Bridges International
The Secret Society,http://secretsociety.net,116 NE Russell St.,,Portland,OR,97212,United States,Ethos
Paragon Restaurant & Bar,http://paragonrestaurant.com/,1309 NW Hoyt St,,Portland,OR,97209,United States,http://saintandrechurch.org/
Marmo Deli and Bar,http://marmopdx.com,1037 SW Morrison ,,Portland,OR,97205,United States,Living Yoga
Rum Club,http://www.rumclubpdx.com,720 SE Sandy,,Portland,OR,97214,United States,Oregon Humane Society
Fenrir,http://fenrirpdx.com,2005 SE 11th ave,,Portland,OR,97214,United States,Friends of Trees
Gruner,http://grunerpdx.com,527 SW 12th Ave,,Portland,OR,97205,United States,Urban Cleaners
Kask,http://grunerpdx.com,527 SW 12th Ave,,Portland,OR,97205,United States,Urban Cleaners
The Whey Bar,http://www.oxpdx.com,2225 NE Martin Luther King Jr. Blvd.,,Portland,OR,97212,United States,Panda Paws Rescue
Xico,http://www.xicopdx.com,3715 SE Division St. ,,Portland,OR,97202,United States,http://pangaeaglobal.org
Racion,http://racionpdx.com/,1205 SW Washington Street,,Portland,OR,97205,United States,Oregon Humane Society
Noraneko,http://noranekoramen.com,1430 SE Water Ave ,,portland,OR,97214,United States,School of Rock
Ringside Fish House,http://ringsidefishhouse.com,838 SW Park Ave,,Portland,OR,97205,United States,Habitat for Humanity Portland Metro
Red Star Tavern ,http://www.redstartavern.com,503 S.W. Alder Street,,Portland,OR,97204,United States,Cascade Aids Project 
Pazzo,http://www.pazzo.com,627 SW Washington,,Portland,OR,97205,United States,P:EAR (Creatively Mentoring Homeless Youth) 
Saucebox,http://www.saucebox.com,214 S.W. Broadway,,Portland,OR,97205,United States,Caldera Arts
Racion,http://racionpdx.com/,1205 Sw Washington,,Portland,OR,97205,United States,Mercy Corp Northwest
Bunk Bar,http://www.bunksandwiches.com,1028 SE Water Ave,,Portland,OR,97214,United States,Doctors Without Borders
Nostrana,http://nostrana.com,1401 SE Morrison St.,,Portland,OR,97214,United States,Oregon Food Bank
Imbibe,http://imbibemagazine.com,1001 SE Water Ave,Ste 285,Portland,OR,97214,United States,mercy corps
The Knock Back,http://www.theknockback.com,2315 NE Alberta St.,,Portland,OR,97211,United States,Friends of the Children
The Rookery Bar,http://www.ravenandrosepdx.com/,1331 sw broadway,,portland,OR,97201,United States,OREGON WILD
Bamboo Sushi,http://bamboosushi.com,1409 NE Alberta,,Portland,OR,97211,United States,Columbia River Keeper
Trifecta Tavern,http://trifectapdx.com,726 SE 6'th AVE,,Portland,OR,97213,United States,Outside In